lang1_ETS,lang2_ETS,weighted_mean_trade,mean_trade,weighted_sum_trade,sum_trade
yor,kor,-16.941973777722154,-17.291410958669175,-17.6351209582821,-17.984558139229122
mar,kor,-19.538888513418517,-18.07942379002168,-20.23203569397846,-18.772570970581626
tam,kor,-15.528215001425545,-17.116387372702956,-16.221362181985494,-17.809534553262903
nep,kor,-16.849840038091088,-16.830692089224634,-17.542987218651035,-17.52383926978458
yor,vie,-19.641894516752387,-19.228540579785587,-20.33504169731233,-19.92168776034553
fre,dut,-19.338398246446033,-18.60594585718586,-20.03154542700598,-19.299093037745806
por,dut,-20.514968133444402,-19.432307244134023,-21.208115314004345,-20.12545442469397
spa,dut,-20.028202102595145,-18.31512045319809,-20.72134928315509,-19.008267633758035
ger,dut,-21.343769149085247,-19.2900912101693,-22.036916329645194,-19.983238390729245
jpn,dut,-20.352163439223176,-18.835810287133498,-21.04531061978312,-19.52895746769344
ind,dut,-19.700958299109246,-18.838181026858276,-20.394105479669193,-19.53132820741822
mal,dut,-21.160871833562535,-18.745656913194576,-21.854019014122482,-19.438804093754523
pan,dut,-20.514754799400443,-19.412198645434135,-21.20790197996039,-20.10534582599408
fas,dut,-21.883961539477973,-19.621270034587837,-22.57710872003792,-20.314417215147785
tgl,dut,-19.11395360551387,-19.500325285393217,-19.807100786073814,-20.193472465953164
tel,dut,-19.932254468601762,-18.67810618365625,-20.62540164916171,-19.371253364216198
tha,dut,-21.806492087294217,-20.814975314542004,-22.49963926785416,-21.508122495101947
urd,dut,-19.837922057743718,-18.045211996227675,-20.53106923830366,-18.738359176787622
eng,dut,-18.870633185588744,-17.210437059510838,-19.56378036614869,-17.903584240070785
gre,dut,-20.053479987904367,-18.846706015811048,-20.74662716846431,-19.53985319637099
rus,dut,-20.030445539642333,-18.765606544847994,-20.72359272020228,-19.458753725407938
ita,dut,-21.770432301452484,-19.59028475868159,-22.46357948201243,-20.283431939241535
pol,dut,-20.84219194604056,-19.401571060203747,-21.535339126600505,-20.09471824076369
tur,dut,-21.133397597424064,-19.81340040161085,-21.826544777984008,-20.506547582170796
kor,dut,-19.93977992268085,-18.978852647049663,-20.632927103240792,-19.67199982760961
vie,dut,-21.36971600196605,-20.429272472257864,-22.062863182525994,-21.12241965281781
rum,dut,-19.479593276887737,-18.06487098227381,-20.172740457447684,-18.758018162833757
guj,dut,-19.553051191348988,-17.54504009355047,-20.246198371908932,-18.238187274110413
hin,dut,-20.33934780068335,-17.83104352962301,-21.032494981243293,-18.524190710182953
yor,dut,-19.104860887381676,-18.3630101326687,-19.79800806794162,-19.056157313228645
mar,dut,-20.077704350916804,-17.10840945561298,-20.770851531476747,-17.801556636172922
kan,dut,-20.22174517062436,-19.56329041038959,-20.914892351184303,-20.256437590949538
tam,dut,-21.92495710263014,-19.56329041038959,-22.618104283190085,-20.256437590949538
ibo,dut,-17.88655452913659,-16.47766387838274,-18.579701709696536,-17.170811058942682
nep,dut,-17.88655452913659,-16.47766387838274,-18.579701709696536,-17.170811058942682
spa,rum,-16.52643836626889,-17.103374542690272,-17.219585546828835,-17.796521723250216
tgl,rum,-18.378894441342617,-18.694280999602015,-19.072041621902564,-19.387428180161958
tel,rum,-19.555308653981683,-17.733034093096265,-20.248455834541627,-18.42618127365621
tha,rum,-18.4978130285846,-18.80860916101908,-19.190960209144542,-19.50175634157903
urd,rum,-19.055224046911015,-17.799386459479805,-19.748371227470958,-18.492533640039753
rus,rum,-19.70947911758466,-18.73866188788666,-20.40262629814461,-19.431809068446604
tur,rum,-19.457310028952385,-18.579526374493454,-20.15045720951233,-19.272673555053398
vie,rum,-17.209953240959145,-19.27862129462144,-17.90310042151909,-19.971768475181385
yor,rum,-17.983547280915964,-18.227775315378075,-18.676694461475908,-18.920922495938022
tam,rum,-16.06214990183256,-17.93478736484136,-16.755297082392506,-18.627934545401303
por,guj,-19.129154287658398,-17.281013363433523,-19.822301468218342,-17.97416054399347
spa,guj,-18.494485232316144,-15.745703080537988,-19.18763241287609,-16.438850261097933
jpn,guj,-19.727678279046927,-17.51382280355381,-20.42082545960687,-18.206969984113755
ind,guj,-19.36293136033125,-17.749064247704567,-20.056078540891196,-18.442211428264514
mal,guj,-20.801933480664296,-18.416655732758095,-21.495080661224243,-19.109802913318042
pan,guj,-20.72948173753947,-18.173841033976334,-21.42262891809942,-18.86698821453628
tgl,guj,-17.275120535910787,-18.174575762474586,-17.968267716470734,-18.86772294303453
tel,guj,-20.397783364583347,-17.57559923615037,-21.09093054514329,-18.268746416710318
tha,guj,-19.21918577234613,-19.609859602471257,-19.912332952906073,-20.3030067830312
urd,guj,-20.331246444912534,-17.173509153861158,-21.024393625472477,-17.866656334421105
rus,guj,-19.06467012559499,-15.972563488791218,-19.757817306154934,-16.665710669351164
ita,guj,-20.223469531510247,-17.57028494668895,-20.916616712070194,-18.263432127248894
pol,guj,-19.43513307853654,-16.498481221898768,-20.128280259096485,-17.19162840245871
tur,guj,-19.855861023727535,-16.743320255177213,-20.549008204287478,-17.43646743573716
kor,guj,-19.39016825818758,-17.173312692229224,-20.083315438747526,-17.866459872789168
vie,guj,-21.21034986132882,-18.269215074623247,-21.903497041888762,-18.962362255183194
rum,guj,-18.30445907331944,-15.081751273603313,-18.997606253879383,-15.774898454163258
hin,guj,-20.33567563954248,-17.539137726001258,-21.028822820102427,-18.2322849065612
yor,guj,-17.45581257692762,-16.21660275426922,-18.148959757487567,-16.909749934829165
mar,guj,-20.355157551662113,-17.470493079496556,-21.048304732222057,-18.1636402600565
kan,guj,-20.38324020959056,-20.38134498898735,-21.076387390150508,-21.074492169547298
tam,guj,-13.553578095027852,-16.51747989128199,-14.246725275587798,-17.210627071841934
ibo,guj,-16.33182172421795,-16.32742892380357,-17.024968904777896,-17.020576104363514
nep,guj,-16.33182172421795,-16.32742892380357,-17.024968904777896,-17.020576104363514
por,hin,-20.082094501545708,-18.01314293193069,-20.775241682105655,-18.706290112490638
spa,hin,-19.212695532695815,-17.52756963712047,-19.90584271325576,-18.220716817680415
jpn,hin,-20.708561718451005,-19.082465786168832,-21.401708899010952,-19.775612966728776
ind,hin,-21.017241546800363,-19.462206159956374,-21.71038872736031,-20.15535334051632
mal,hin,-21.722552841043832,-19.785062251263373,-22.41570002160378,-20.47820943182332
pan,hin,-21.525642671214808,-19.22618618191405,-22.218789851774755,-19.919333362473992
tgl,hin,-19.383957486692363,-19.466009237288752,-20.07710466725231,-20.1591564178487
tel,hin,-21.247334047231483,-18.780334384831967,-21.94048122779143,-19.47348156539191
tha,hin,-20.854092290207067,-20.32330061017114,-21.547239470767014,-21.016447790731085
urd,hin,-20.934347975599138,-18.53706178527461,-21.627495156159085,-19.230208965834557
rus,hin,-19.910805458867824,-17.43408219919701,-20.603952639427767,-18.127229379756955
ita,hin,-20.92718635788341,-18.938162284791275,-21.620333538443358,-19.631309465351222
pol,hin,-20.277074548739062,-18.248965467942167,-20.970221729299006,-18.942112648502114
tur,hin,-20.58421366842923,-18.039538182676065,-21.277360848989176,-18.732685363236012
kor,hin,-20.349316859036442,-18.772992408304518,-21.042464039596393,-19.466139588864465
vie,hin,-21.74357551900223,-19.47021335869776,-22.436722699562175,-20.163360539257706
rum,hin,-18.84412488793782,-17.030728264158554,-19.537272068497764,-17.7238754447185
yor,hin,-18.381756727228478,-18.017923742279454,-19.07490390778842,-18.711070922839397
mar,hin,-21.498403389328892,-19.093141096140446,-22.19155056988884,-19.78628827670039
kan,hin,-21.50292778510307,-21.502661387898442,-22.19607496566301,-22.19580856845839
tam,hin,-16.205203474346337,-18.241847737142066,-16.89835065490628,-18.934994917702014
ibo,hin,-17.573621552899645,-17.571490941027594,-18.26676873345959,-18.26463812158754
nep,hin,-17.573621552899645,-17.571490941027594,-18.26676873345959,-18.26463812158754
fre,bul,-16.74672368256659,-17.39036545840462,-17.439870863126536,-18.083512638964567
por,bul,-18.25466937686338,-18.22340980150015,-18.947816557423327,-18.916556982060094
spa,bul,-17.738156903766992,-17.919008105587057,-18.431304084326936,-18.612155286147
ger,bul,-20.55430763174872,-19.573577531430917,-21.247454812308668,-20.266724711990864
jpn,bul,-19.67608034900695,-19.403652560256013,-20.369227529566892,-20.096799740815957
ind,bul,-20.143632326721832,-19.105813850882228,-20.83677950728178,-19.798961031442175
mal,bul,-20.516249866163935,-19.955807984096097,-21.20939704672388,-20.648955164656044
pan,bul,-19.776967559671395,-18.986509595991187,-20.470114740231338,-19.679656776551134
fas,bul,-19.166176335301795,-20.227752089093972,-19.859323515861746,-20.92089926965392
tgl,bul,-19.84887185255597,-20.260875785194955,-20.542019033115917,-20.954022965754902
tel,bul,-20.402180139430477,-18.105761195135315,-21.095327319990425,-18.798908375695262
tha,bul,-20.986811365552633,-20.353636358283193,-21.679958546112577,-21.04678353884314
urd,bul,-18.823397143252617,-18.5833553156089,-19.51654432381256,-19.276502496168845
eng,bul,-17.390747387439408,-17.29738523635653,-18.08389456799935,-17.990532416916476
gre,bul,-19.34659684943903,-19.616835347712918,-20.039744029998975,-20.309982528272865
rus,bul,-20.095584199467204,-19.534426877600275,-20.788731380027148,-20.227574058160222
ita,bul,-20.237506988214538,-19.924235841769853,-20.930654168774485,-20.6173830223298
pol,bul,-20.1623390304059,-20.12920394484486,-20.855486210965843,-20.822351125404808
tur,bul,-19.958205717711248,-19.91473420758976,-20.651352898271195,-20.607881388149707
kor,bul,-18.915379638078672,-19.426186520928916,-19.60852681863862,-20.119333701488863
vie,bul,-18.63883063893105,-20.142443253698193,-19.331977819490998,-20.83559043425814
dut,bul,-21.460609784880493,-21.20334011905536,-22.15375696544044,-21.896487299615302
rum,bul,-18.33587807156421,-19.468602011341314,-19.029025252124157,-20.16174919190126
guj,bul,-18.886735830905888,-18.1083812117446,-19.579883011465835,-18.801528392304547
hin,bul,-19.84444219566868,-18.87930070031388,-20.537589376228627,-19.572447880873824
yor,bul,-18.503293438923404,-18.540140537877505,-19.19644061948335,-19.233287718437452
chi,bul,-21.975670342203422,-19.097218863334554,-22.66881752276337,-19.7903660438945
mar,bul,-20.82655024690255,-19.60663140634211,-21.519697427462496,-20.299778586902057
kan,bul,-20.942364323742314,-20.969992514511468,-21.635511504302258,-21.66313969507141
tam,bul,-17.70303303197618,-18.918441110222034,-18.396180212536123,-19.61158829078198
ibo,bul,-19.970084548188716,-19.97890468241371,-20.66323172874866,-20.672051862973657
nep,bul,-19.970084548188716,-19.97890468241371,-20.66323172874866,-20.672051862973657
fre,ara,-15.692784990083817,-15.546784820411274,-16.385932170643763,-16.23993200097122
por,ara,-17.279049925295734,-16.78317615152905,-17.97219710585568,-17.476323332089
spa,ara,-15.536886996719923,-15.278994659866877,-16.23003417727987,-15.97214184042682
ben,ara,-18.790877403357015,-18.9255648292177,-19.484024583916963,-19.618712009777642
ger,ara,-16.834408310893853,-16.603099816825182,-17.527555491453796,-17.29624699738513
jpn,ara,-18.474809952165124,-17.70847484310684,-19.167957132725068,-18.401622023666782
ind,ara,-18.136516085208573,-17.86027611805938,-18.82966326576852,-18.55342329861933
mal,ara,-19.89968823215073,-18.898981293820725,-20.592835412710674,-19.59212847438067
pan,ara,-18.681957459359687,-18.145198818609153,-19.375104639919634,-18.838345999169096
fas,ara,-18.893646647117663,-18.320454814775953,-19.586793827677607,-19.013601995335897
tgl,ara,-18.013646847052033,-18.451525431603475,-18.706794027611984,-19.144672612163422
tel,ara,-19.18458380752068,-18.777320206451773,-19.877730988080625,-19.47046738701172
tha,ara,-19.358171977400744,-19.323545421446344,-20.05131915796069,-20.016692602006287
urd,ara,-18.33106222120434,-17.87347174900918,-19.02420940176429,-18.566618929569124
eng,ara,-15.97594453968852,-15.48043661128171,-16.669091720248463,-16.173583791841658
gre,ara,-15.732207006810409,-15.653442583127527,-16.425354187370353,-16.346589763687472
rus,ara,-15.20313808820259,-15.006172060983767,-15.896285268762535,-15.699319241543712
ita,ara,-17.644506286591273,-17.01731252841192,-18.33765346715122,-17.710459708971868
pol,ara,-15.928663539219128,-15.931319493514673,-16.621810719779074,-16.62446667407462
tur,ara,-16.494061622834586,-16.28063204333303,-17.187208803394533,-16.973779223892972
kor,ara,-17.905017559405774,-17.67861510709866,-18.598164739965718,-18.371762287658605
vie,ara,-17.153564715179005,-17.089022810725925,-17.84671189573895,-17.782169991285873
dut,ara,-18.77673323697221,-18.555725846345354,-19.469880417532153,-19.248873026905297
rum,ara,-13.730845107811675,-14.454695842176593,-14.42399228837162,-15.147843022736538
guj,ara,-16.840700837569667,-15.816269942707379,-17.533848018129614,-16.509417123267323
hin,ara,-18.496229941431395,-17.407381090910892,-19.189377121991342,-18.10052827147084
bul,ara,-15.73009184245512,-15.924068687615415,-16.423239023015064,-16.61721586817536
yor,ara,-15.027056423190988,-14.814939820538271,-15.720203603750933,-15.508087001098216
chi,ara,-17.85002192434162,-16.8270988560006,-18.543169104901562,-17.520246036560547
mar,ara,-19.592745640046147,-18.69709964477049,-20.285892820606094,-19.390246825330433
kan,ara,-20.500393419579012,-20.335916834622573,-21.193540600138956,-21.02906401518252
tam,ara,-15.476522136675998,-16.880488129286235,-16.169669317235943,-17.57363530984618
ibo,ara,-15.124368645042765,-15.124368645042765,-15.817515825602708,-15.81751582560271
nep,ara,-15.124368645042765,-15.124368645042765,-15.817515825602708,-15.81751582560271
fre,chi,-19.777098048642145,-17.996013874624992,-20.470245229202092,-18.689161055184936
por,chi,-20.333666511689955,-19.045673725917034,-21.026813692249902,-19.738820906476978
spa,chi,-20.227286645589185,-18.379657811141012,-20.920433826149132,-19.072804991700956
ger,chi,-22.511153310541935,-18.99165680386751,-23.204300491101883,-19.684803984427457
jpn,chi,-23.029100641443716,-20.084691840869404,-23.722247822003663,-20.77783902142935
ind,chi,-21.748134477457114,-20.56593884696931,-22.441281658017058,-21.259086027529253
mal,chi,-21.29876243857232,-20.258972779445884,-21.99190961913227,-20.952119960005827
pan,chi,-21.749530609810062,-19.787875205344996,-22.44267779037001,-20.481022385904943
fas,chi,-19.898215091029876,-20.07428801403429,-20.59136227158982,-20.76743519459424
tgl,chi,-22.759660097022053,-20.588352125986898,-23.452807277581996,-21.28149930654684
tel,chi,-21.30112165357804,-19.190487246634095,-21.994268834137987,-19.883634427194043
tha,chi,-23.527712383769828,-21.534899979202248,-24.22085956432978,-22.22804715976219
urd,chi,-21.201583163925797,-19.23550154457704,-21.894730344485744,-19.928648725136988
eng,chi,-20.662813840817243,-17.99525433863655,-21.35596102137719,-18.688401519196493
gre,chi,-19.518259196968405,-18.61772068032577,-20.211406377528352,-19.31086786088572
rus,chi,-21.042252260874672,-18.55089550418565,-21.735399441434616,-19.244042684745594
ita,chi,-21.800397109031653,-19.672123106837,-22.4935442895916,-20.365270287396946
pol,chi,-21.856728529761043,-19.37853475724787,-22.54987571032099,-20.071681937807817
tur,chi,-22.174420837584773,-18.94721234741693,-22.86756801814472,-19.640359527976877
kor,chi,-22.078864127322817,-19.83021665677928,-22.77201130788276,-20.52336383733923
vie,chi,-24.310711855426636,-21.228524033548435,-25.003859035986586,-21.921671214108382
dut,chi,-21.862235294910434,-21.073537985333964,-22.55538247547038,-21.76668516589391
rum,chi,-20.351750271467317,-18.18467804152213,-21.04489745202726,-18.877825222082077
guj,chi,-21.11901123449302,-18.60271247534104,-21.812158415052966,-19.295859655900987
hin,chi,-20.92348282409594,-19.59846926799609,-21.616630004655892,-20.291616448556038
yor,chi,-19.99100882742391,-19.437778018457458,-20.684156007983855,-20.130925199017405
mar,chi,-21.053413829127923,-19.388103860342383,-21.746561009687873,-20.08125104090233
kan,chi,-21.05497872220586,-21.054735748233384,-21.748125902765807,-21.74788292879333
tam,chi,-18.109917077351202,-19.52733205826988,-18.803064257911146,-20.220479238829828
ibo,chi,-19.905657285865786,-19.90571148074177,-20.59880446642573,-20.598858661301712
nep,chi,-19.905657285865786,-19.90571148074177,-20.59880446642573,-20.598858661301712
por,mar,-20.042412140703387,-18.116520683686986,-20.735559321263334,-18.80966786424693
spa,mar,-19.482565146882816,-17.184073627711598,-20.175712327442763,-17.877220808271545
pan,mar,-21.435255222554325,-18.930622799330703,-22.12840240311427,-19.62376997989065
tgl,mar,-20.47042082941028,-17.90801866421837,-21.163568009970227,-18.60116584477832
tel,mar,-20.717172779613826,-18.114621863859025,-21.410319960173773,-18.807769044418972
tha,mar,-24.099628575952114,-21.19737283762971,-24.792775756512057,-21.890520018189655
urd,mar,-20.80768282383121,-18.225507167088953,-21.500830004391158,-18.9186543476489
rus,mar,-20.138135191219362,-17.306534969678,-20.83128237177931,-17.99968215023795
pol,mar,-20.95329952648042,-18.076201732567498,-21.64644670704037,-18.769348913127445
tur,mar,-20.791494613725703,-18.410463170891745,-21.484641794285647,-19.10361035145169
vie,mar,-22.97309111769558,-19.978650051816174,-23.66623829825553,-20.67179723237612
rum,mar,-20.09063486014297,-16.887504360037067,-20.783782040702917,-17.580651540597014
yor,mar,-21.223086256709937,-18.73519404317147,-21.916233437269884,-19.428341223731415
tam,mar,-20.885361946017102,-20.88681917580983,-21.578509126577046,-21.579966356369773
nep,mar,NaN,NaN,NaN,NaN
por,kan,-20.201973090523175,-20.09224594280347,-20.89512027108312,-20.785393123363413
spa,kan,-19.65716670754274,-19.63926964373221,-20.350313888102683,-20.332416824292157
mal,kan,-22.400561975132153,-22.396192254537755,-23.0937091556921,-23.0893394350977
pan,kan,-21.66553002019283,-21.66035381096353,-22.358677200752776,-22.35350099152348
tgl,kan,-20.49173617685678,-20.483432912610013,-21.184883357416727,-21.176580093169957
tel,kan,-20.60973881252034,-20.608211952386377,-21.302885993080288,-21.301359132946324
tha,kan,-24.10149562821942,-24.10149562821942,-24.794642808779365,-24.794642808779365
urd,kan,-20.80519319244798,-20.802181129580152,-21.498340373007927,-21.4953283101401
rus,kan,-20.199321333370847,-20.200763404853475,-20.892468513930794,-20.893910585413423
pol,kan,-20.983970356510326,-20.983967196602105,-21.67711753707027,-21.67711437716205
tur,kan,-20.81237042421829,-20.807786949155428,-21.505517604778237,-21.500934129715375
kor,kan,-21.131555113196097,-21.117476516209102,-21.82470229375604,-21.81062369676905
vie,kan,-22.990802529096236,-22.99091375336036,-23.683949709656183,-23.684060933920303
rum,kan,-20.436459569532083,-20.436886462969614,-21.12960675009203,-21.130033643529558
yor,kan,-21.392488909813306,-21.408741614172996,-22.085636090373253,-22.101888794732943
mar,kan,NaN,NaN,NaN,NaN
tam,kan,NaN,NaN,NaN,NaN
nep,kan,NaN,NaN,NaN,NaN
tgl,tam,-15.554102955140376,-17.10258484513759,-16.24725013570032,-17.795732025697536
tel,tam,-17.11749992053957,-16.482926765073802,-17.81064710109951,-17.176073945633746
tha,tam,-19.459980331751566,-20.949942546048035,-20.153127512311514,-21.643089726607982
urd,tam,-15.91998201359965,-16.558255192449327,-16.613129194159594,-17.25140237300927
tur,tam,-14.225064673491529,-15.9217891098884,-14.918211854051474,-16.614936290448345
vie,tam,-15.592820313674316,-17.12216055788634,-16.285967494234264,-17.815307738446283
yor,tam,-13.966257651605812,-16.039692704069715,-14.659404832165757,-16.732839884629662
por,ibo,-18.234279871975794,-18.09777701335811,-18.92742705253574,-18.790924193918055
spa,ibo,-16.74399330023174,-16.70993888830496,-17.437140480791687,-17.40308606886491
jpn,ibo,-19.629569512899693,-19.546084287821174,-20.32271669345964,-20.239231468381117
ind,ibo,-18.76530604588668,-18.375166390393055,-19.458453226446625,-19.068313570953002
mal,ibo,-20.097329286974386,-19.738150953457936,-20.790476467534333,-20.43129813401788
pan,ibo,-19.110551194308268,-18.723259111863722,-19.803698374868212,-19.416406292423666
tgl,ibo,-20.722873432607756,-20.723350218037957,-21.4160206131677,-21.4164973985979
tel,ibo,-19.31595705491521,-18.72539158886911,-20.009104235475156,-19.418538769429055
tha,ibo,-20.47455102694225,-20.47455102694225,-21.167698207502198,-21.167698207502198
urd,ibo,-18.126160939029948,-17.717564648008228,-18.819308119589895,-18.41071182856817
rus,ibo,-15.66161162598497,-15.67807142713925,-16.354758806544915,-16.371218607699195
ita,ibo,-19.152048460880533,-19.06554611029501,-19.845195641440476,-19.758693290854957
pol,ibo,-16.959508243064604,-16.956683071808662,-17.652655423624548,-17.649830252368606
tur,ibo,-16.054569994394825,-16.0447847433792,-16.74771717495477,-16.737931923939144
kor,ibo,-17.875566206869667,-17.732773530486778,-18.568713387429614,-18.425920711046725
vie,ibo,-18.57996354313678,-18.584421853370124,-19.27311072369673,-19.27756903393007
rum,ibo,-13.653502329845372,-13.654603482881198,-14.346649510405317,-14.347750663441143
yor,ibo,-19.694774981129584,-19.712246620767424,-20.387922161689527,-20.40539380132737
mar,ibo,-19.415962774897203,-18.463074830071633,-20.109109955457146,-19.15622201063158
kan,ibo,-22.276389313502712,-22.276389313502712,-22.96953649406266,-22.96953649406266
tam,ibo,-22.276389313502712,-22.276389313502712,-22.96953649406266,-22.96953649406266
nep,ibo,NaN,NaN,NaN,NaN
por,nep,-18.234279871975794,-18.09777701335811,-18.92742705253574,-18.790924193918055
spa,nep,-16.74399330023174,-16.70993888830496,-17.437140480791687,-17.40308606886491
pan,nep,-19.110551194308268,-18.723259111863722,-19.803698374868212,-19.416406292423666
tgl,nep,-20.722873432607756,-20.723350218037957,-21.4160206131677,-21.4164973985979
tel,nep,-19.31595705491521,-18.72539158886911,-20.009104235475156,-19.418538769429055
tha,nep,-20.47455102694225,-20.47455102694225,-21.167698207502198,-21.167698207502198
urd,nep,-18.126160939029948,-17.717564648008228,-18.819308119589895,-18.41071182856817
rus,nep,-15.66161162598497,-15.67807142713925,-16.354758806544915,-16.371218607699195
pol,nep,-16.959508243064604,-16.956683071808662,-17.652655423624548,-17.649830252368606
tur,nep,-16.054569994394825,-16.0447847433792,-16.74771717495477,-16.737931923939144
vie,nep,-18.57996354313678,-18.584421853370124,-19.27311072369673,-19.27756903393007
rum,nep,-13.653502329845372,-13.654603482881198,-14.346649510405317,-14.347750663441143
yor,nep,-19.694774981129584,-19.712246620767424,-20.387922161689527,-20.40539380132737
tam,nep,-22.276389313502712,-22.276389313502712,-22.96953649406266,-22.96953649406266
